"CountryCode","Country","Year","Sex","LifeExpectancyAt60","LifeExpectancy","Region"
"CAF","Central African Republic",2010,"MLE",10.72568,46.69299,"Africa"
"CAF","Central African Republic",2015,"MLE",10.98759,48.1875,"Africa"
"CAF","Central African Republic",2019,"MLE",11.31051,50.20675,"Africa"
"CAF","Central African Republic",2000,"FMLE",13.37044,45.52407,"Africa"
"CAF","Central African Republic",2010,"FMLE",14.20045,50.43916,"Africa"
"CAF","Central African Republic",2015,"FMLE",14.39733,53.03206,"Africa"
"CAF","Central African Republic",2019,"FMLE",14.85052,56.25684,"Africa"
"CAF","Central African Republic",2000,"BTSX",11.7695,44.33932,"Africa"
"CAF","Central African Republic",2010,"BTSX",12.51403,48.51089,"Africa"
"CAF","Central African Republic",2015,"BTSX",12.77284,50.53056,"Africa"
"CAF","Central African Republic",2019,"BTSX",13.16634,53.09729,"Africa"
"CAN","Canada",2000,"MLE",20.53786,76.54477,"Americas"
"CAN","Canada",2010,"MLE",22.83945,79.25688,"Americas"
"CAN","Canada",2015,"MLE",23.34338,79.8774,"Americas"
"CAN","Canada",2019,"MLE",23.83582,80.3959,"Americas"
"CAN","Canada",2000,"FMLE",24.26888,81.548,"Americas"
"CAN","Canada",2010,"FMLE",25.70212,83.27262,"Americas"
"CAN","Canada",2015,"FMLE",25.98486,83.58485,"Americas"
"CAN","Canada",2019,"FMLE",26.38066,84.05355,"Americas"
"CAN","Canada",2000,"BTSX",22.51449,79.09756,"Americas"
"CAN","Canada",2010,"BTSX",24.35057,81.3058,"Americas"
"CAN","Canada",2015,"BTSX",24.72397,81.75909,"Americas"
"CAN","Canada",2019,"BTSX",25.15211,82.23827,"Americas"
"CHE","Switzerland",2000,"MLE",20.83634,76.89114,"Europe"
"CHE","Switzerland",2010,"MLE",22.85678,80.02937,"Europe"
"CHE","Switzerland",2015,"MLE",23.29617,80.64204,"Europe"
"CHE","Switzerland",2019,"MLE",24.09287,81.75073,"Europe"
"CHE","Switzerland",2000,"FMLE",24.80434,82.34627,"Europe"
"CHE","Switzerland",2010,"FMLE",26.18852,84.18406,"Europe"
"CHE","Switzerland",2015,"FMLE",26.22992,84.50005,"Europe"
"CHE","Switzerland",2019,"FMLE",26.64617,85.07654,"Europe"
"CHE","Switzerland",2000,"BTSX",22.99131,79.71678,"Europe"
"CHE","Switzerland",2010,"BTSX",24.64704,82.1935,"Europe"
"CHE","Switzerland",2015,"BTSX",24.8409,82.61449,"Europe"
"CHE","Switzerland",2019,"BTSX",25.42622,83.44616,"Europe"
"CHL","Chile",2000,"MLE",19.24646,73.63732,"Americas"
"CHL","Chile",2010,"MLE",20.40373,75.4846,"Americas"
"CHL","Chile",2015,"MLE",21.59913,76.9781,"Americas"
"CHL","Chile",2019,"MLE",22.41061,78.08552,"Americas"
"CHL","Chile",2000,"FMLE",23.08576,79.76972,"Americas"
"CHL","Chile",2010,"FMLE",24.21569,81.30399,"Americas"
"CHL","Chile",2015,"FMLE",25.34514,82.50868,"Americas"
"CHL","Chile",2019,"FMLE",25.87613,83.24642,"Americas"
"CHL","Chile",2000,"BTSX",21.32072,76.77242,"Americas"
"CHL","Chile",2010,"BTSX",22.45455,78.46236,"Americas"
