"CountryCode","Year","Sex","LifeExpectancyAt60"
"DOM",2015,"MLE",18.55331
"DOM",2019,"MLE",18.98523
"DOM",2000,"FMLE",24.37822
"DOM",2010,"FMLE",22.85299
"DOM",2015,"FMLE",22.01844
"DOM",2019,"FMLE",22.36033
"DOM",2000,"BTSX",22.42306
"DOM",2010,"BTSX",21.38424
"DOM",2015,"BTSX",20.23917
"DOM",2019,"BTSX",20.64724
"DZA",2000,"MLE",19.35888
"DZA",2010,"MLE",20.8905
"DZA",2015,"MLE",21.32939
"DZA",2019,"MLE",21.53045
"DZA",2000,"FMLE",20.25175
"DZA",2010,"FMLE",21.85451
"DZA",2015,"FMLE",22.33388
"DZA",2019,"FMLE",22.62011
"DZA",2000,"BTSX",19.80911
"DZA",2010,"BTSX",21.36816
"DZA",2015,"BTSX",21.81046
"DZA",2019,"BTSX",22.04483
"ECU",2000,"MLE",20.75323
"ECU",2010,"MLE",20.44043
"ECU",2015,"MLE",21.39504
"ECU",2019,"MLE",22.03512
"ECU",2000,"FMLE",23.09301
"ECU",2010,"FMLE",22.76713
"ECU",2015,"FMLE",23.61479
"ECU",2019,"FMLE",24.31149
"ECU",2000,"BTSX",21.94214
"ECU",2010,"BTSX",21.62346
"ECU",2015,"BTSX",22.53198
"ECU",2019,"BTSX",23.20397
"EGY",2000,"MLE",16.77353
"EGY",2010,"MLE",16.31344
"EGY",2015,"MLE",15.73154
"EGY",2019,"MLE",16.48795
"EGY",2000,"FMLE",19.99001
"EGY",2010,"FMLE",19.07337
"EGY",2015,"FMLE",18.26039
"EGY",2019,"FMLE",19.10971
"EGY",2000,"BTSX",18.46444
"EGY",2010,"BTSX",17.74868
"EGY",2015,"BTSX",17.02711
"EGY",2019,"BTSX",17.82616
"ERI",2000,"MLE",11.69641
"ERI",2010,"MLE",12.90314
"ERI",2015,"MLE",13.58498
"ERI",2019,"MLE",14.12736
"ERI",2000,"FMLE",15.56229
"ERI",2010,"FMLE",16.22359
"ERI",2015,"FMLE",16.55057
"ERI",2019,"FMLE",16.82371
"ERI",2000,"BTSX",13.51395
"ERI",2010,"BTSX",14.5292
"ERI",2015,"BTSX",15.08294
"ERI",2019,"BTSX",15.49802
"ESP",2000,"MLE",20.34327
"ESP",2010,"MLE",22.15372
"ESP",2015,"MLE",22.56729
"ESP",2019,"MLE",23.27987
"ESP",2000,"FMLE",24.82263
"ESP",2010,"FMLE",26.49732
"ESP",2015,"FMLE",26.68835
"ESP",2019,"FMLE",27.33771
"ESP",2000,"BTSX",22.69663
"ESP",2010,"BTSX",24.42024
"ESP",2015,"BTSX",24.70817
"ESP",2019,"BTSX",25.38906
"EST",2000,"MLE",15.39392
"EST",2010,"MLE",17.33868
"EST",2015,"MLE",18.61842
"EST",2019,"MLE",19.25809
"EST",2000,"FMLE",20.94478
"EST",2010,"FMLE",23.19502
"EST",2015,"FMLE",24.31583
"EST",2019,"FMLE",24.98523
"EST",2000,"BTSX",18.6073
"EST",2010,"BTSX",20.7504
"EST",2015,"BTSX",21.91946
"EST",2019,"BTSX",22.53013
"ETH",2000,"MLE",13.42284
"ETH",2010,"MLE",16.28993
"ETH",2015,"MLE",17.04046
"ETH",2019,"MLE",17.44324
"ETH",2000,"FMLE",14.91175
"ETH",2010,"FMLE",18.28858
"ETH",2015,"FMLE",19.09154
"ETH",2019,"FMLE",19.40257
"ETH",2000,"BTSX",14.14521
"ETH",2010,"BTSX",17.28395
"ETH",2015,"BTSX",18.07524
"ETH",2019,"BTSX",18.4487
"FIN",2000,"MLE",19.17303
"FIN",2010,"MLE",21.02889
"FIN",2015,"MLE",21.94675
"FIN",2019,"MLE",22.35576
"FIN",2000,"FMLE",23.55955
"FIN",2010,"FMLE",25.2847
"FIN",2015,"FMLE",25.68243
"FIN",2019,"FMLE",25.80908
"FIN",2000,"BTSX",21.59904
"FIN",2010,"BTSX",23.28721
"FIN",2015,"BTSX",23.91218
"FIN",2019,"BTSX",24.15978
"FJI",2000,"MLE",13.31153
"FJI",2010,"MLE",14.76748
"FJI",2015,"MLE",14.76324
"FJI",2019,"MLE",14.88122
"FJI",2000,"FMLE",16.25373
"FJI",2010,"FMLE",16.83753
"FJI",2015,"FMLE",17.22583
"FJI",2019,"FMLE",17.48544
"FJI",2000,"BTSX",14.70161
"FJI",2010,"BTSX",15.78006
"FJI",2015,"BTSX",15.98873
"FJI",2019,"BTSX",16.17678
"FRA",2000,"MLE",20.39186
"FRA",2010,"MLE",22.34975
"FRA",2015,"MLE",22.85283
"FRA",2019,"MLE",23.27017
"FRA",2000,"FMLE",25.28648
"FRA",2010,"FMLE",26.76762
"FRA",2015,"FMLE",26.93075
"FRA",2019,"FMLE",27.21364
"FRA",2000,"BTSX",23.00835
"FRA",2010,"BTSX",24.70755
"FRA",2015,"BTSX",25.00999
"FRA",2019,"BTSX",25.34413
"FSM",2000,"MLE",13.74858
"FSM",2010,"MLE",14.06214
"FSM",2015,"MLE",13.96259
"FSM",2019,"MLE",13.81512
"FSM",2000,"FMLE",15.4717
"FSM",2010,"FMLE",15.64645
"FSM",2015,"FMLE",15.60145
"FSM",2019,"FMLE",15.57699
"FSM",2000,"BTSX",14.6258
"FSM",2010,"BTSX",14.87293
"FSM",2015,"BTSX",14.78011
"FSM",2019,"BTSX",14.69783
"GAB",2000,"MLE",13.40602
"GAB",2010,"MLE",14.42783
"GAB",2015,"MLE",14.87411
"GAB",2019,"MLE",15.15166
"GAB",2000,"FMLE",16.95538
"GAB",2010,"FMLE",18.23144
"GAB",2015,"FMLE",18.98127
"GAB",2019,"FMLE",19.25307
"GAB",2000,"BTSX",15.23425
"GAB",2010,"BTSX",16.36185
"GAB",2015,"BTSX",16.91494
"GAB",2019,"BTSX",17.16747
"GBR",2000,"MLE",19.48533
"GBR",2010,"MLE",21.98775
"GBR",2015,"MLE",22.30888
"GBR",2019,"MLE",22.95967
"GBR",2000,"FMLE",22.90793
"GBR",2010,"FMLE",24.61658
"GBR",2015,"FMLE",24.64887
"GBR",2019,"FMLE",25.23362
"GBR",2000,"BTSX",21.30563
"GBR",2010,"BTSX",23.35768
"GBR",2015,"BTSX",23.51712
"GBR",2019,"BTSX",24.13215
"GEO",2000,"MLE",15.21082
"GEO",2010,"MLE",15.93195
"GEO",2015,"MLE",15.98012
"GEO",2019,"MLE",16.04998
"GEO",2000,"FMLE",18.4478
"GEO",2010,"FMLE",20.11222
"GEO",2015,"FMLE",20.45818
"GEO",2019,"FMLE",21.01847
"GEO",2000,"BTSX",16.99349
"GEO",2010,"BTSX",18.21995
"GEO",2015,"BTSX",18.42638
"GEO",2019,"BTSX",18.76264
"GHA",2000,"MLE",14.84272
"GHA",2010,"MLE",14.55392
"GHA",2015,"MLE",15.1166
"GHA",2019,"MLE",15.65692
"GHA",2000,"FMLE",17.25373
"GHA",2010,"FMLE",17.94059
"GHA",2015,"FMLE",18.55641
"GHA",2019,"FMLE",18.88577
"GHA",2000,"BTSX",16.04991
"GHA",2010,"BTSX",16.20934
"GHA",2015,"BTSX",16.79972
"GHA",2019,"BTSX",17.2493
